class_type,title,alt_labels,description,skill_type,source
Skill,Animation:Master,,3D modeling/animation,knowledge,Wikipedia - https://en.wikipedia.org/wiki/List_of_3D_modeling_software; https://en.wikipedia.org/wiki/List_of_3D_animation_software
Skill,AnimVR,,3D modeling/animation,knowledge,Wikipedia - https://en.wikipedia.org/wiki/List_of_3D_modeling_software; https://en.wikipedia.org/wiki/List_of_3D_animation_software
Skill,Ansible,,"The tool Ansible is a software program to perform configuration identification, control, status accounting and audit.",knowledge,ESCO
Skill,anticipate change in car technology,anticipate developments in car technology;follow advancements in car technology;follow developments in car technology;foresee changes in automobile technology;remain up-to-date with developments in car technology;anticipate developments in automobile technology;foresee changes in car technology;anticipate change in automobile technology;envisage developments in car technology;envisage advancements in car technology,Stay up-to-date with latest trends in car technology and anticipate change in the field.,skill,ESCO
Skill,Antics 2-D Animation,,2D animation,knowledge,Wikipedia - https://en.wikipedia.org/wiki/List_of_2D_animation_software
Skill,Apache Maven,Maven,"The tool Apache Maven is a software program to perform configuration identification, control, status accounting and audit of software during its development and maintenance.",knowledge,ESCO
Skill,Apache Tomcat,,"The open-source web server Apache Tomcat provides a Java web server environment which uses a built in container where HTTP requests are loaded, allowing the Java web applications to run on local and server based systems.",knowledge,ESCO
Skill,Apple iAd Producer,,2D animation,knowledge,Wikipedia - https://en.wikipedia.org/wiki/List_of_2D_animation_software
Skill,application usability,software usability,"The process through which the learnability, efficiency, usefulness and ease of use of a software application can be defined and measured.",knowledge,ESCO
Skill,apply 3D imaging techniques,,"Implement a variety of techniques such as digital sculpting, curve modelling and 3D scanning to create, edit, preserve and use 3D images, such as point clouds, 3D vector graphic and 3D surface shapes.",skill,ESCO
Skill,apply airport standards and regulations,ensure airport operates to standards and regulations;apply airport regulations and standards;comply with airport standards and regulations;ensure compliance with airport standards and regulations;apply airport regulations;apply standards and regulations for airports;implement airport standards and regulations;ensure airport conforms to standards and regulations;apply airport standards,"Know and apply the accepted standards and regulations for European airports. Apply knowledge to enforce airport rules, regulations, and the Airport Safety Plan.",skill,ESCO
Skill,apply business acumen,applying business acumen;implement business acumen;to apply business acumen;employ business acumen;administer business acumen;utilise business acumen;business acumen application,Take appropriate actions in a business environment in order to maximise possible outcome from each situation.,skill,ESCO
Skill,apply change management,utilise change management;apply changing management;implement change management;employ change management;administer change management;change management application;applying change management,Manage development within an organisation by anticipating changes and making managerial decisions to ensure that the members involved are as less disturbed as possible.,skill,ESCO
Skill,apply control process statistical methods,apply a control process statistical methodology;employ control process statistical methods;apply control process statistical methodology;implement control process statistical methods;utilise control process statistical methods;administer control process statistical methods;apply control processing statistical method,Applies statistical methods from Design of Experiments (DOE) and Statistical Process Control (SPC) in order to control manufacturing processes.,skill,ESCO
Skill,apply desktop publishing techniques,apply desktop publishing technique;apply desktop publishing methods;apply desktop publishing practices;apply desktop publishing procedures,Apply desktop publishing techniques and software to create page layouts and typographic quality text.,skill,ESCO
Skill,apply digital mapping,use digital mapping;applying digital mapping;engage in digital mapping;employ digital mapping,Make maps by formatting compiled data into a virtual image that gives a precise representation of a specific area.,skill,ESCO
Skill,apply health and safety standards,apply a health and safety standard;health and safety standard applications;employ health and safety standards;applying health and safety standards;administer health and safety standards;implement health and safety standards;utilise health and safety standards,Adhere to standards of hygiene and safety established by respective authorities.,skill,ESCO
Skill,apply ICT system usage policies,,Follow written and ethical laws and policies regarding proper ICT system usage and administration.,skill,ESCO
Skill,apply ICT systems theory,,Implement principles of ICT systems theory in order to explain and document system characteristics that can be applied universally to other systems,skill,ESCO
Skill,apply information security policies,"ensure CIA;comply with data protection regulations;ensure confidentiality, integrity and availability principles;data security;protect data;data protection regulations;apply data protection;information security policy;protect information;secure data","Implement policies, methods and regulations for data and information security in order to respect confidentiality, integrity and availability principles.",skill,ESCO
Skill,apply problem solving in social service,apply problem-solving in social services;apply problem solving in social services;step-by-step problem solving process in social service;apply problem-solving techniques in social services,Systematically apply a step-by-step problem-solving process in providing social services.,skill,ESCO
Skill,apply publicity code,apply the publicity code;put the publicity code into practice;apply the code of publicity;implement the publicity code regulations,"Apply legislation and rules to present products to a public in texts, pictures and other symbols.",skill,ESCO
Skill,apply reverse engineering,,"Use techniques to extract information or disassemble an ICT component, software or system in order to analyse, correct and reassemble or reproduce it.",skill,ESCO
Skill,apply social media marketing,administer social media marketing;employ social media marketing;social media marketing application;application of social media marketing;applying social media marketing;implement social media marketing;utilise social media marketing,"Employ website traffic of social media such as Facebook and Twitter to generate attention and participation of existing and potential customers through discussion forums, web logs, microblogging and social communities for gaining a quick overview or insight into topics and opinions in the social web and handle inbound leads or inquiries.",skill,ESCO
Skill,apply statistical analysis techniques,apply numerical analysis to data,"Use models (descriptive or inferential statistics) and techniques (data mining or machine learning) for statistical analysis and ICT tools to analyse data, uncover correlations and forecast trends.",skill,ESCO
Skill,apply system organisational policies,,"Implement internal policies related to the development, internal and external usage of technological systems, such as software systems, network systems and telecommunications systems, in order to achieve a set of goals and targets regarding the efficient operations and growth of an organisation.",skill,ESCO
Skill,apply tools for content development,,"Use specialised content development tools such as content and terminology management systems, translation memory systems, language checker and editors to generate, compile and transform content according to specified standards.",skill,ESCO
Skill,approve reports for artistic project,approve artistic project's reporting;approve reports created for artistic project;approve reporting for artistic project;approve artistic project's report,"Approve the financial report, the artistic report, any other report required for the artistic project.",skill,ESCO
Skill,ArchiCAD,,3D modeling/animation,knowledge,Wikipedia - https://en.wikipedia.org/wiki/List_of_3D_modeling_software; https://en.wikipedia.org/wiki/List_of_3D_animation_software
Skill,archive healthcare users' records,archive healthcare users' data;store healthcare users' records;archive health data of healthcare users;store health records of healthcare users;archive health records of healthcare users,"Properly store the health records of healthcare users, including test results and case notes so that they are easily retrieved when required.",skill,ESCO
Skill,Ardour,,Audio editing,knowledge,GoogleSheet 'Free Software for the Creative Industry' accessed Tue 14th Apr 2020.  https://docs.google.com/spreadsheets/d/19fL3JD0v-AfuTdAdY9r4mlxb2OyUZZvx8lW31VE9Q2A/edit#gid=2051660042
Skill,ArmorPaint,,3D Painting,knowledge,GoogleSheet 'Free Software for the Creative Industry' accessed Tue 14th Apr 2020.  https://docs.google.com/spreadsheets/d/19fL3JD0v-AfuTdAdY9r4mlxb2OyUZZvx8lW31VE9Q2A/edit#gid=2051660043
Skill,Armory,,3D game engine with full Blender integration,knowledge,GoogleSheet 'Free Software for the Creative Industry' accessed Tue 14th Apr 2020.  https://docs.google.com/spreadsheets/d/19fL3JD0v-AfuTdAdY9r4mlxb2OyUZZvx8lW31VE9Q2A/edit#gid=2051660044
Skill,Arri Color Tool,,Create color profile for grading (looks),knowledge,GoogleSheet 'Free Software for the Creative Industry' accessed Tue 14th Apr 2020.  https://docs.google.com/spreadsheets/d/19fL3JD0v-AfuTdAdY9r4mlxb2OyUZZvx8lW31VE9Q2A/edit#gid=2051660045
Skill,Art of Illusion,,3D modeling and animation,knowledge,GoogleSheet 'Free Software for the Creative Industry' accessed Tue 14th Apr 2020.  https://docs.google.com/spreadsheets/d/19fL3JD0v-AfuTdAdY9r4mlxb2OyUZZvx8lW31VE9Q2A/edit#gid=2051660046
Skill,Asana,,Project team and task management,knowledge,GoogleSheet 'Free Software for the Creative Industry' accessed Tue 14th Apr 2020.  https://docs.google.com/spreadsheets/d/19fL3JD0v-AfuTdAdY9r4mlxb2OyUZZvx8lW31VE9Q2A/edit#gid=2051660047
Skill,ASP.NET,ASP+;Aspx;ASP.NET 3.5;ASP.NET 2.0,"The techniques and principles of software development, such as analysis, algorithms, coding, testing and compiling of programming paradigms in ASP.NET.",knowledge,ESCO
Skill,assemble an artistic team,assemble a team of artists;make up an artistic team;recruit members for the artistic project team,"Bring together an artistic team, after identifying the needs, looking for candidates, conducting interviews and aligning on the conditions of the project.  ",skill,ESCO
Skill,assemble the rehearsal set,fit up the rehearsal set;assembling the rehearsal set;prepare rehearsal set with props;assemble rehearsal sets;set up rehearsal set with props;assemble set for the rehearsal,Put together all prepared scenic elements to prepare the rehearsal set.,skill,ESCO
Skill,Assembly (computer programming),,"The techniques and principles of software development, such as analysis, algorithms, coding, testing and compiling of programming paradigms in Assembly.",knowledge,ESCO
Skill,assess cage water quality,cage water quality checking;check cage water quality;checking water quality in cage;assessing cage water quality;assessing water quality in cage;checking cage water quality;cage water quality assessing,"Analyse the quality of water by monitoring the state of temperature and oxygen, among other parameters.",skill,ESCO
Skill,assess data collected to improve community arts programme,assess data collected to improve community arts programmes;analyse data collected to improve community arts programme;assess data to improve community arts programme;interpret data collected to improve community arts programme;assessing sustainability data collected to improve community arts programme;assess data collected to improve community art programme;assess data collected to improve community arts program,"Interpret and evaluate data collected during your community arts programme. Use it to offer signposting to individuals in your groups for their development, to extract actions that you can take to improve your professional practice, and to create a report appropriate to your requirements providing your analyse of data collected and possible solutions, with or without specifying needed resources as necessary.",skill,ESCO
Skill,assess environmental impact,carry out environmental impact assessments;assess environmental impact and risks;assessment of environmental impact;environmental impact assessment;assess environmental risks;assess environmental impacts;assessing of environmental impact;assessing environmental impact,Monitor environmental impacts and carry out assessments in order to identify and to reduce the organisation's environmental risks while taking costs into account.,skill,ESCO
